start_time,end_time,category,speaker,transcript
411.38,413.92,dyadic,SPEAKER_01," So you got to do both.  You got to mitigate the ones that it's obvious trouble, but you got to stop the ones that are starting to spark.  And even with that, you think 100,000 deaths is a reasonable projection.  We had a bad season in 2017-18.  We lost over 60,000 people just in a seasonal...  This is clearly worse than that.  So I would not be surprised. I don't want to see it.  I'd like to...  100,000 deaths. "
414.65,422.41,dyadic,SPEAKER_01," So you got to do both.  You got to mitigate the ones that it's obvious trouble, but you got to stop the ones that are starting to spark.  And even with that, you think 100,000 deaths is a reasonable projection.  We had a bad season in 2017-18.  We lost over 60,000 people just in a seasonal...  This is clearly worse than that.  So I would not be surprised. I don't want to see it.  I'd like to...  100,000 deaths.  You talked about New York, New Orleans, Detroit, any other cities you're specifically concerned. "
423.09,429.53,dyadic,SPEAKER_01," And even with that, you think 100,000 deaths is a reasonable projection.  We had a bad season in 2017-18.  We lost over 60,000 people just in a seasonal...  This is clearly worse than that.  So I would not be surprised. I don't want to see it.  I'd like to...  100,000 deaths.  You talked about New York, New Orleans, Detroit, any other cities you're specifically concerned.  Well, you know, there are cities outside the New York area.  For example, the city's in New Jersey.  You know, nowhere can play.  This is like that in Connecticut Fair Fat Count. "
425.18,425.47,dyadic,SPEAKER_00," We had a bad season in 2017-18.  We lost over 60,000 people just in a seasonal...  This is clearly worse than that.  So I would not be surprised. I don't want to see it.  I'd like to...  100,000 deaths.  You talked about New York, New Orleans, Detroit, any other cities you're specifically concerned.  Well, you know, there are cities outside the New York area.  For example, the city's in New Jersey. "
428.52,428.89,dyadic,SPEAKER_00," We had a bad season in 2017-18.  We lost over 60,000 people just in a seasonal...  This is clearly worse than that.  So I would not be surprised. I don't want to see it.  I'd like to...  100,000 deaths.  You talked about New York, New Orleans, Detroit, any other cities you're specifically concerned.  Well, you know, there are cities outside the New York area.  For example, the city's in New Jersey.  You know, nowhere can play.  This is like that in Connecticut Fair Fat Count. "
430.11,432.94,dyadic,SPEAKER_01," We had a bad season in 2017-18.  We lost over 60,000 people just in a seasonal...  This is clearly worse than that.  So I would not be surprised. I don't want to see it.  I'd like to...  100,000 deaths.  You talked about New York, New Orleans, Detroit, any other cities you're specifically concerned.  Well, you know, there are cities outside the New York area.  For example, the city's in New Jersey.  You know, nowhere can play.  This is like that in Connecticut Fair Fat Count. "
432.94,438.97,dyadic,SPEAKER_00," We had a bad season in 2017-18.  We lost over 60,000 people just in a seasonal...  This is clearly worse than that.  So I would not be surprised. I don't want to see it.  I'd like to...  100,000 deaths.  You talked about New York, New Orleans, Detroit, any other cities you're specifically concerned.  Well, you know, there are cities outside the New York area.  For example, the city's in New Jersey.  You know, nowhere can play.  This is like that in Connecticut Fair Fat Count.  Groundage, Los Angeles, perhaps.  Cities in the Midwest, some of the larger cities. "
441.19,447.88,dyadic,SPEAKER_01," This is clearly worse than that.  So I would not be surprised. I don't want to see it.  I'd like to...  100,000 deaths.  You talked about New York, New Orleans, Detroit, any other cities you're specifically concerned.  Well, you know, there are cities outside the New York area.  For example, the city's in New Jersey.  You know, nowhere can play.  This is like that in Connecticut Fair Fat Count.  Groundage, Los Angeles, perhaps.  Cities in the Midwest, some of the larger cities.  Those are the things we get concerned about.  Because thus far, they seem to be doing well.  But they have the potential.  But they have the potential. "
447.95,450.98,single,SPEAKER_01," I'd like to...  100,000 deaths.  You talked about New York, New Orleans, Detroit, any other cities you're specifically concerned.  Well, you know, there are cities outside the New York area.  For example, the city's in New Jersey.  You know, nowhere can play.  This is like that in Connecticut Fair Fat Count.  Groundage, Los Angeles, perhaps.  Cities in the Midwest, some of the larger cities.  Those are the things we get concerned about.  Because thus far, they seem to be doing well.  But they have the potential.  But they have the potential. "
451.74,466.03,single,SPEAKER_01," 100,000 deaths.  You talked about New York, New Orleans, Detroit, any other cities you're specifically concerned.  Well, you know, there are cities outside the New York area.  For example, the city's in New Jersey.  You know, nowhere can play.  This is like that in Connecticut Fair Fat Count.  Groundage, Los Angeles, perhaps.  Cities in the Midwest, some of the larger cities.  Those are the things we get concerned about.  Because thus far, they seem to be doing well.  But they have the potential.  But they have the potential.  evidence have you seen that supplies are disappearing from hospitals at unusual rates.  The president said something that got a lot of people's attention that hospitals at normally  were 23,000 masks were having to order 200,000 to 300,000 and that suggests that they're  walking out the back door.  What evidence have you seen that these masks may be walking out the back door? "
466.03,467.6,single,SPEAKER_00," For example, the city's in New Jersey.  You know, nowhere can play.  This is like that in Connecticut Fair Fat Count.  Groundage, Los Angeles, perhaps.  Cities in the Midwest, some of the larger cities.  Those are the things we get concerned about.  Because thus far, they seem to be doing well.  But they have the potential.  But they have the potential.  evidence have you seen that supplies are disappearing from hospitals at unusual rates.  The president said something that got a lot of people's attention that hospitals at normally  were 23,000 masks were having to order 200,000 to 300,000 and that suggests that they're  walking out the back door.  What evidence have you seen that these masks may be walking out the back door? "
467.6,467.62,single,SPEAKER_01," You know, nowhere can play.  This is like that in Connecticut Fair Fat Count.  Groundage, Los Angeles, perhaps.  Cities in the Midwest, some of the larger cities.  Those are the things we get concerned about.  Because thus far, they seem to be doing well.  But they have the potential.  But they have the potential.  evidence have you seen that supplies are disappearing from hospitals at unusual rates.  The president said something that got a lot of people's attention that hospitals at normally  were 23,000 masks were having to order 200,000 to 300,000 and that suggests that they're  walking out the back door.  What evidence have you seen that these masks may be walking out the back door? "
467.62,468.9,single,SPEAKER_00," You know, nowhere can play.  This is like that in Connecticut Fair Fat Count.  Groundage, Los Angeles, perhaps.  Cities in the Midwest, some of the larger cities.  Those are the things we get concerned about.  Because thus far, they seem to be doing well.  But they have the potential.  But they have the potential.  evidence have you seen that supplies are disappearing from hospitals at unusual rates.  The president said something that got a lot of people's attention that hospitals at normally  were 23,000 masks were having to order 200,000 to 300,000 and that suggests that they're  walking out the back door.  What evidence have you seen that these masks may be walking out the back door? "
468.97,489.07,dyadic,SPEAKER_00," You know, nowhere can play.  This is like that in Connecticut Fair Fat Count.  Groundage, Los Angeles, perhaps.  Cities in the Midwest, some of the larger cities.  Those are the things we get concerned about.  Because thus far, they seem to be doing well.  But they have the potential.  But they have the potential.  evidence have you seen that supplies are disappearing from hospitals at unusual rates.  The president said something that got a lot of people's attention that hospitals at normally  were 23,000 masks were having to order 200,000 to 300,000 and that suggests that they're  walking out the back door.  What evidence have you seen that these masks may be walking out the back door?  You know, I have not looked at that carefully so I really can't comment.  I mean it could be that there are many more patients there that need them and they're  actually not walking out the door.  They're actually be utilized.  I don't know.  When that discussion came yesterday, I really didn't know what was going on.  So I'll have to check that out later and find out what the... "
490.91,509.89,dyadic,SPEAKER_01," evidence have you seen that supplies are disappearing from hospitals at unusual rates.  The president said something that got a lot of people's attention that hospitals at normally  were 23,000 masks were having to order 200,000 to 300,000 and that suggests that they're  walking out the back door.  What evidence have you seen that these masks may be walking out the back door?  You know, I have not looked at that carefully so I really can't comment.  I mean it could be that there are many more patients there that need them and they're  actually not walking out the door.  They're actually be utilized.  I don't know.  When that discussion came yesterday, I really didn't know what was going on.  So I'll have to check that out later and find out what the...  In terms of public health, one of the most important things in a public health crisis is  public trust.  How important is the consistent message in a public health crisis?  Well, it is important.  That's the reason why if you go back and take a look at the things I've said.  Over the last several weeks, they're really rather consistent.  I mean, almost word for word. "
510.87,510.9,dyadic,SPEAKER_01," You know, I have not looked at that carefully so I really can't comment.  I mean it could be that there are many more patients there that need them and they're  actually not walking out the door.  They're actually be utilized.  I don't know.  When that discussion came yesterday, I really didn't know what was going on.  So I'll have to check that out later and find out what the...  In terms of public health, one of the most important things in a public health crisis is  public trust.  How important is the consistent message in a public health crisis?  Well, it is important.  That's the reason why if you go back and take a look at the things I've said.  Over the last several weeks, they're really rather consistent.  I mean, almost word for word. "
510.9,511.34,dyadic,SPEAKER_00," You know, I have not looked at that carefully so I really can't comment.  I mean it could be that there are many more patients there that need them and they're  actually not walking out the door.  They're actually be utilized.  I don't know.  When that discussion came yesterday, I really didn't know what was going on.  So I'll have to check that out later and find out what the...  In terms of public health, one of the most important things in a public health crisis is  public trust.  How important is the consistent message in a public health crisis?  Well, it is important.  That's the reason why if you go back and take a look at the things I've said.  Over the last several weeks, they're really rather consistent.  I mean, almost word for word. "
512.79,520.42,dyadic,SPEAKER_00," You know, I have not looked at that carefully so I really can't comment.  I mean it could be that there are many more patients there that need them and they're  actually not walking out the door.  They're actually be utilized.  I don't know.  When that discussion came yesterday, I really didn't know what was going on.  So I'll have to check that out later and find out what the...  In terms of public health, one of the most important things in a public health crisis is  public trust.  How important is the consistent message in a public health crisis?  Well, it is important.  That's the reason why if you go back and take a look at the things I've said.  Over the last several weeks, they're really rather consistent.  I mean, almost word for word.  Sometimes as we get more cases...  You know, I get a little bit more emphatic about what we should do and that's the reason "
522.9,528.13,dyadic,SPEAKER_01," actually not walking out the door.  They're actually be utilized.  I don't know.  When that discussion came yesterday, I really didn't know what was going on.  So I'll have to check that out later and find out what the...  In terms of public health, one of the most important things in a public health crisis is  public trust.  How important is the consistent message in a public health crisis?  Well, it is important.  That's the reason why if you go back and take a look at the things I've said.  Over the last several weeks, they're really rather consistent.  I mean, almost word for word.  Sometimes as we get more cases...  You know, I get a little bit more emphatic about what we should do and that's the reason  why I made a big pitch to do a couple of things over the last couple of years. "
528.19,537.15,single,SPEAKER_01," When that discussion came yesterday, I really didn't know what was going on.  So I'll have to check that out later and find out what the...  In terms of public health, one of the most important things in a public health crisis is  public trust.  How important is the consistent message in a public health crisis?  Well, it is important.  That's the reason why if you go back and take a look at the things I've said.  Over the last several weeks, they're really rather consistent.  I mean, almost word for word.  Sometimes as we get more cases...  You know, I get a little bit more emphatic about what we should do and that's the reason  why I made a big pitch to do a couple of things over the last couple of years.  In New York, do you feel that every official speaking at a microphone has been as consistent  as you have been over the last...  You know, not everybody's the same.  People have different styles about how they communicate. "
532.18,532.49,single,SPEAKER_00," So I'll have to check that out later and find out what the...  In terms of public health, one of the most important things in a public health crisis is  public trust.  How important is the consistent message in a public health crisis?  Well, it is important.  That's the reason why if you go back and take a look at the things I've said.  Over the last several weeks, they're really rather consistent.  I mean, almost word for word.  Sometimes as we get more cases...  You know, I get a little bit more emphatic about what we should do and that's the reason  why I made a big pitch to do a couple of things over the last couple of years.  In New York, do you feel that every official speaking at a microphone has been as consistent  as you have been over the last... "
537.6,537.97,single,SPEAKER_01," In terms of public health, one of the most important things in a public health crisis is  public trust.  How important is the consistent message in a public health crisis?  Well, it is important.  That's the reason why if you go back and take a look at the things I've said.  Over the last several weeks, they're really rather consistent.  I mean, almost word for word.  Sometimes as we get more cases...  You know, I get a little bit more emphatic about what we should do and that's the reason  why I made a big pitch to do a couple of things over the last couple of years.  In New York, do you feel that every official speaking at a microphone has been as consistent  as you have been over the last...  You know, not everybody's the same.  People have different styles about how they communicate. "
538.04,547.81,dyadic,SPEAKER_01," In terms of public health, one of the most important things in a public health crisis is  public trust.  How important is the consistent message in a public health crisis?  Well, it is important.  That's the reason why if you go back and take a look at the things I've said.  Over the last several weeks, they're really rather consistent.  I mean, almost word for word.  Sometimes as we get more cases...  You know, I get a little bit more emphatic about what we should do and that's the reason  why I made a big pitch to do a couple of things over the last couple of years.  In New York, do you feel that every official speaking at a microphone has been as consistent  as you have been over the last...  You know, not everybody's the same.  People have different styles about how they communicate.  Testing.  Right now, New York City, or New York State, I should say, is developing or has developed  a test that can be taken with saliva and nasal swab of self-test. "
548.03,549.26,dyadic,SPEAKER_00," Well, it is important.  That's the reason why if you go back and take a look at the things I've said.  Over the last several weeks, they're really rather consistent.  I mean, almost word for word.  Sometimes as we get more cases...  You know, I get a little bit more emphatic about what we should do and that's the reason  why I made a big pitch to do a couple of things over the last couple of years.  In New York, do you feel that every official speaking at a microphone has been as consistent  as you have been over the last...  You know, not everybody's the same.  People have different styles about how they communicate.  Testing.  Right now, New York City, or New York State, I should say, is developing or has developed  a test that can be taken with saliva and nasal swab of self-test. "
548.05,549.46,dyadic,SPEAKER_01," Well, it is important.  That's the reason why if you go back and take a look at the things I've said.  Over the last several weeks, they're really rather consistent.  I mean, almost word for word.  Sometimes as we get more cases...  You know, I get a little bit more emphatic about what we should do and that's the reason  why I made a big pitch to do a couple of things over the last couple of years.  In New York, do you feel that every official speaking at a microphone has been as consistent  as you have been over the last...  You know, not everybody's the same.  People have different styles about how they communicate.  Testing.  Right now, New York City, or New York State, I should say, is developing or has developed  a test that can be taken with saliva and nasal swab of self-test.  How important is this to battle? "
549.46,549.6,dyadic,SPEAKER_00," Well, it is important.  That's the reason why if you go back and take a look at the things I've said.  Over the last several weeks, they're really rather consistent.  I mean, almost word for word.  Sometimes as we get more cases...  You know, I get a little bit more emphatic about what we should do and that's the reason  why I made a big pitch to do a couple of things over the last couple of years.  In New York, do you feel that every official speaking at a microphone has been as consistent  as you have been over the last...  You know, not everybody's the same.  People have different styles about how they communicate.  Testing.  Right now, New York City, or New York State, I should say, is developing or has developed  a test that can be taken with saliva and nasal swab of self-test.  How important is this to battle? "
549.6,550.04,dyadic,SPEAKER_01," Well, it is important.  That's the reason why if you go back and take a look at the things I've said.  Over the last several weeks, they're really rather consistent.  I mean, almost word for word.  Sometimes as we get more cases...  You know, I get a little bit more emphatic about what we should do and that's the reason  why I made a big pitch to do a couple of things over the last couple of years.  In New York, do you feel that every official speaking at a microphone has been as consistent  as you have been over the last...  You know, not everybody's the same.  People have different styles about how they communicate.  Testing.  Right now, New York City, or New York State, I should say, is developing or has developed  a test that can be taken with saliva and nasal swab of self-test.  How important is this to battle? "
550.04,557.77,dyadic,SPEAKER_00," Well, it is important.  That's the reason why if you go back and take a look at the things I've said.  Over the last several weeks, they're really rather consistent.  I mean, almost word for word.  Sometimes as we get more cases...  You know, I get a little bit more emphatic about what we should do and that's the reason  why I made a big pitch to do a couple of things over the last couple of years.  In New York, do you feel that every official speaking at a microphone has been as consistent  as you have been over the last...  You know, not everybody's the same.  People have different styles about how they communicate.  Testing.  Right now, New York City, or New York State, I should say, is developing or has developed  a test that can be taken with saliva and nasal swab of self-test.  How important is this to battle?  You know, I think it's very important because what you want, if you're going to immediately "
557.77,557.8,dyadic,SPEAKER_01," I mean, almost word for word.  Sometimes as we get more cases...  You know, I get a little bit more emphatic about what we should do and that's the reason  why I made a big pitch to do a couple of things over the last couple of years.  In New York, do you feel that every official speaking at a microphone has been as consistent  as you have been over the last...  You know, not everybody's the same.  People have different styles about how they communicate.  Testing.  Right now, New York City, or New York State, I should say, is developing or has developed  a test that can be taken with saliva and nasal swab of self-test.  How important is this to battle?  You know, I think it's very important because what you want, if you're going to immediately "
558.61,558.8,dyadic,SPEAKER_01," I mean, almost word for word.  Sometimes as we get more cases...  You know, I get a little bit more emphatic about what we should do and that's the reason  why I made a big pitch to do a couple of things over the last couple of years.  In New York, do you feel that every official speaking at a microphone has been as consistent  as you have been over the last...  You know, not everybody's the same.  People have different styles about how they communicate.  Testing.  Right now, New York City, or New York State, I should say, is developing or has developed  a test that can be taken with saliva and nasal swab of self-test.  How important is this to battle?  You know, I think it's very important because what you want, if you're going to immediately "
559.49,564.03,dyadic,SPEAKER_01," I mean, almost word for word.  Sometimes as we get more cases...  You know, I get a little bit more emphatic about what we should do and that's the reason  why I made a big pitch to do a couple of things over the last couple of years.  In New York, do you feel that every official speaking at a microphone has been as consistent  as you have been over the last...  You know, not everybody's the same.  People have different styles about how they communicate.  Testing.  Right now, New York City, or New York State, I should say, is developing or has developed  a test that can be taken with saliva and nasal swab of self-test.  How important is this to battle?  You know, I think it's very important because what you want, if you're going to immediately  identify, isolate and contact trace a per... "
564.03,564.26,dyadic,SPEAKER_00," You know, I get a little bit more emphatic about what we should do and that's the reason  why I made a big pitch to do a couple of things over the last couple of years.  In New York, do you feel that every official speaking at a microphone has been as consistent  as you have been over the last...  You know, not everybody's the same.  People have different styles about how they communicate.  Testing.  Right now, New York City, or New York State, I should say, is developing or has developed  a test that can be taken with saliva and nasal swab of self-test.  How important is this to battle?  You know, I think it's very important because what you want, if you're going to immediately  identify, isolate and contact trace a per... "
565.36,577.88,dyadic,SPEAKER_00," You know, I get a little bit more emphatic about what we should do and that's the reason  why I made a big pitch to do a couple of things over the last couple of years.  In New York, do you feel that every official speaking at a microphone has been as consistent  as you have been over the last...  You know, not everybody's the same.  People have different styles about how they communicate.  Testing.  Right now, New York City, or New York State, I should say, is developing or has developed  a test that can be taken with saliva and nasal swab of self-test.  How important is this to battle?  You know, I think it's very important because what you want, if you're going to immediately  identify, isolate and contact trace a per...  person so that you could quickly get them out of society and stop spreading other people.  You want to test that you know the answer right away.  One of the problems with tests that you get back several days later is that you generally "
579.72,590.02,dyadic,SPEAKER_01," as you have been over the last...  You know, not everybody's the same.  People have different styles about how they communicate.  Testing.  Right now, New York City, or New York State, I should say, is developing or has developed  a test that can be taken with saliva and nasal swab of self-test.  How important is this to battle?  You know, I think it's very important because what you want, if you're going to immediately  identify, isolate and contact trace a per...  person so that you could quickly get them out of society and stop spreading other people.  You want to test that you know the answer right away.  One of the problems with tests that you get back several days later is that you generally  let that person who might actually be infected to go back into society and inadvertently  be infecting other people while you're waiting for the result of the test. "
590.09,635.23,single,SPEAKER_01," People have different styles about how they communicate.  Testing.  Right now, New York City, or New York State, I should say, is developing or has developed  a test that can be taken with saliva and nasal swab of self-test.  How important is this to battle?  You know, I think it's very important because what you want, if you're going to immediately  identify, isolate and contact trace a per...  person so that you could quickly get them out of society and stop spreading other people.  You want to test that you know the answer right away.  One of the problems with tests that you get back several days later is that you generally  let that person who might actually be infected to go back into society and inadvertently  be infecting other people while you're waiting for the result of the test.  So if you really want to do what I mentioned just a moment ago is to really get the handle  on those areas where they don't have a lot of infected individuals where you want to effectively  identify, isolate and contact trace, you want the result of the test in real time.  You want to know exactly what you're dealing with at the time you're dealing with it.  In terms of the other tests on some of these drugs for treatments, can you give us an update  on what you're hearing, how effective...  Well, you'll never know if a drug is really effective unless you compare it to something  and that's called a randomized controlled clinical trial.  Pair drug X and standard of care with just standard of care. "
635.3,639.04,dyadic,SPEAKER_01," let that person who might actually be infected to go back into society and inadvertently  be infecting other people while you're waiting for the result of the test.  So if you really want to do what I mentioned just a moment ago is to really get the handle  on those areas where they don't have a lot of infected individuals where you want to effectively  identify, isolate and contact trace, you want the result of the test in real time.  You want to know exactly what you're dealing with at the time you're dealing with it.  In terms of the other tests on some of these drugs for treatments, can you give us an update  on what you're hearing, how effective...  Well, you'll never know if a drug is really effective unless you compare it to something  and that's called a randomized controlled clinical trial.  Pair drug X and standard of care with just standard of care. "
639.04,639.17,dyadic,SPEAKER_00," be infecting other people while you're waiting for the result of the test.  So if you really want to do what I mentioned just a moment ago is to really get the handle  on those areas where they don't have a lot of infected individuals where you want to effectively  identify, isolate and contact trace, you want the result of the test in real time.  You want to know exactly what you're dealing with at the time you're dealing with it.  In terms of the other tests on some of these drugs for treatments, can you give us an update  on what you're hearing, how effective...  Well, you'll never know if a drug is really effective unless you compare it to something  and that's called a randomized controlled clinical trial.  Pair drug X and standard of care with just standard of care. "
