word,start,end,score,speaker
for,92.607,93.548,0.978,SPEAKER_01
you.,93.588,93.828,0.937,SPEAKER_01
"Like,",93.928,94.149,0.976,SPEAKER_01
this,94.549,94.689,0.848,SPEAKER_01
is,94.769,94.829,0.776,SPEAKER_01
a,94.889,94.909,0.313,SPEAKER_01
human,94.989,95.31,0.899,SPEAKER_01
life,95.37,95.57,0.876,SPEAKER_01
that,95.61,95.71,0.936,SPEAKER_01
I'm,95.75,95.87,0.885,SPEAKER_01
responsible,95.91,96.471,0.845,SPEAKER_01
for.,96.531,96.771,0.931,SPEAKER_01
And,96.832,98.313,0.483,SPEAKER_01
I,98.333,98.353,0.999,SPEAKER_01
was,99.394,99.494,0.983,SPEAKER_01
so,99.615,99.895,0.907,SPEAKER_01
on,99.915,100.255,0.778,SPEAKER_01
edge,100.315,100.656,0.805,SPEAKER_01
about,100.736,100.936,0.985,SPEAKER_01
that.,100.996,101.276,0.962,SPEAKER_01
I,101.737,101.797,0.983,SPEAKER_01
felt,101.837,101.997,0.857,SPEAKER_01
so,102.037,102.157,0.608,SPEAKER_01
anxious,102.338,102.678,0.764,SPEAKER_01
about,102.758,103.038,0.81,SPEAKER_01
it.,103.138,103.199,0.997,SPEAKER_01
"Like,",103.259,103.439,0.871,SPEAKER_01
am,103.479,103.539,0.526,SPEAKER_01
I,103.619,103.679,0.976,SPEAKER_01
doing,103.739,103.919,0.805,SPEAKER_01
the,103.959,104.039,0.825,SPEAKER_01
right,104.079,104.22,0.736,SPEAKER_01
thing?,104.3,104.48,0.958,SPEAKER_01
And,104.5,104.56,0.99,SPEAKER_01
so,104.58,104.68,0.707,SPEAKER_01
I,104.72,104.76,0.869,SPEAKER_01
was,104.8,104.88,0.841,SPEAKER_01
constantly,104.96,105.601,0.775,SPEAKER_01
trying,105.641,106.202,0.882,SPEAKER_01
to,106.222,106.282,0.749,SPEAKER_01
fix,106.362,106.562,0.984,SPEAKER_01
things,106.622,107.083,0.748,SPEAKER_01
and,107.163,107.243,0.88,SPEAKER_01
do,107.403,107.443,0.006,SPEAKER_01
things.,107.463,107.663,0.967,SPEAKER_01
And,108.264,108.404,0.882,SPEAKER_01
I,108.504,108.564,0.913,SPEAKER_01
felt,108.604,108.725,0.975,SPEAKER_01
like,108.765,108.865,0.984,SPEAKER_01
I,108.905,108.925,0.989,SPEAKER_01
couldn't,108.985,109.225,0.824,SPEAKER_01
share,109.485,109.746,0.738,SPEAKER_01
a,109.786,109.806,0.985,SPEAKER_01
lot,109.866,109.986,0.935,SPEAKER_01
of,110.026,110.066,0.972,SPEAKER_01
that,110.106,110.246,0.763,SPEAKER_01
with,110.286,110.426,0.791,SPEAKER_01
you,110.507,110.787,0.749,SPEAKER_01
because,110.967,111.187,0.804,SPEAKER_01
I,111.207,111.287,0.577,SPEAKER_01
just,111.348,111.448,0.798,SPEAKER_01
had,111.488,111.588,0.813,SPEAKER_01
to,111.608,111.648,0.179,SPEAKER_01
put,111.688,111.788,0.894,SPEAKER_01
on,111.848,111.908,0.966,SPEAKER_01
this,111.948,112.088,0.857,SPEAKER_01
mother,112.208,112.549,0.869,SPEAKER_01
"facade,",112.589,113.75,0.853,SPEAKER_01
you,113.77,113.85,0.983,SPEAKER_01
"know,",113.89,114.071,0.96,SPEAKER_01
I'm,114.151,114.251,0.967,SPEAKER_01
your,114.291,114.411,0.834,SPEAKER_01
mother.,114.431,116.353,0.767,SPEAKER_01
got,116.333,117.014,0.873,SPEAKER_01
into,117.074,117.234,0.892,SPEAKER_01
"college,",117.314,117.915,0.836,SPEAKER_01
and,117.975,118.055,0.914,SPEAKER_01
especially,118.116,118.576,0.956,SPEAKER_01
out,118.616,119.037,0.825,SPEAKER_01
of,119.097,119.137,0.998,SPEAKER_01
"college,",119.237,119.778,0.948,SPEAKER_01
and,120.439,120.519,0.698,SPEAKER_01
started,120.559,120.819,0.447,SPEAKER_01
making,120.92,121.2,0.942,SPEAKER_01
your,121.24,121.36,0.942,SPEAKER_01
own,121.4,121.5,0.792,SPEAKER_01
way,121.54,121.661,0.669,SPEAKER_01
in,121.701,121.761,0.746,SPEAKER_01
the,121.801,121.881,0.834,SPEAKER_01
"world,",121.921,122.181,0.794,SPEAKER_01
I,122.201,122.221,1.0,SPEAKER_01
just,122.602,122.742,0.663,SPEAKER_01
felt,122.782,122.963,0.959,SPEAKER_01
this,123.003,123.143,0.706,SPEAKER_01
huge,123.363,123.944,0.78,SPEAKER_01
release,124.224,124.645,0.897,SPEAKER_01
of,125.486,125.546,0.979,SPEAKER_01
responsibility.,125.606,126.608,0.802,SPEAKER_01
And,126.668,127.389,0.837,SPEAKER_01
I,127.549,127.629,0.712,SPEAKER_01
could,127.649,127.81,0.881,SPEAKER_01
just,127.85,128.15,0.818,SPEAKER_01
be,128.651,128.911,0.972,SPEAKER_01
me.,128.951,130.093,0.974,SPEAKER_01
I,130.113,130.133,1.0,SPEAKER_01
still,130.473,130.734,0.778,SPEAKER_01
"feel,",130.754,131.094,0.718,SPEAKER_01
even,131.154,131.415,0.788,SPEAKER_01
"now,",131.455,131.715,0.914,SPEAKER_01
I,131.815,131.855,0.982,SPEAKER_01
still,131.915,132.096,0.943,SPEAKER_01
feel,132.136,132.316,0.785,SPEAKER_01
"like,",132.376,132.516,0.922,SPEAKER_01
"okay,",132.556,132.977,0.43,SPEAKER_01
I'm,132.997,133.057,0.182,SPEAKER_01
her,133.077,133.197,0.793,SPEAKER_01
mom.,133.217,133.558,0.898,SPEAKER_01
There's,133.578,134.179,0.154,SPEAKER_01
certain,134.199,134.439,0.9,SPEAKER_01
things,134.479,134.639,0.766,SPEAKER_01
I'm,134.699,134.8,0.54,SPEAKER_01
not,134.82,134.96,0.73,SPEAKER_01
gonna,134.98,135.14,0.462,SPEAKER_01
share.,135.2,135.521,0.874,SPEAKER_01
But,135.561,136.482,0.617,SPEAKER_01
I,136.522,136.562,0.982,SPEAKER_01
feel,136.602,136.722,0.727,SPEAKER_01
like,136.762,136.842,0.836,SPEAKER_01
as,136.883,137.243,0.76,SPEAKER_01
time,137.303,137.483,0.7,SPEAKER_01
goes,137.523,137.684,0.717,SPEAKER_01
"on,",137.844,137.904,0.931,SPEAKER_01
that,137.944,138.144,0.757,SPEAKER_01
"lessens,",138.204,138.745,0.907,SPEAKER_01
you,139.026,139.266,0.498,SPEAKER_01
know?,139.286,139.586,0.887,SPEAKER_01
What,140.908,141.049,0.934,SPEAKER_01
are,141.089,141.169,0.925,SPEAKER_01
you,141.209,141.309,0.736,SPEAKER_01
hesitant,141.349,141.85,0.832,SPEAKER_01
to,141.87,141.95,0.764,SPEAKER_01
talk,142.03,142.25,0.913,SPEAKER_01
to,142.29,142.37,0.854,SPEAKER_01
me,142.411,142.511,0.91,SPEAKER_01
about,142.571,142.811,0.863,SPEAKER_01
and,142.911,142.991,0.869,SPEAKER_01
why?,143.051,143.472,0.808,SPEAKER_01
"Okay,",145.898,146.339,0.554,SPEAKER_01
so,146.359,146.579,0.992,SPEAKER_01
I'm,147.02,147.12,0.892,SPEAKER_01
a,147.18,147.2,0.957,SPEAKER_01
little,147.24,147.44,0.766,SPEAKER_01
hesitant,147.48,147.801,0.424,SPEAKER_01
to,147.861,147.941,0.877,SPEAKER_01
talk,148.001,148.221,0.88,SPEAKER_01
to,148.241,148.281,0.115,SPEAKER_01
you,148.321,148.422,0.727,SPEAKER_01
about,148.482,148.722,0.783,SPEAKER_01
why,148.742,149.183,0.865,SPEAKER_01
it,149.243,149.303,0.73,SPEAKER_01
was,149.363,149.483,0.901,SPEAKER_01
so,149.603,149.824,0.787,SPEAKER_01
hard,149.904,150.124,0.907,SPEAKER_01
for,150.204,150.364,0.971,SPEAKER_01
me,150.605,150.765,0.929,SPEAKER_01
to,150.845,150.945,0.917,SPEAKER_01
parent,151.025,151.386,0.854,SPEAKER_01
you,151.426,151.606,0.889,SPEAKER_01
when,151.706,151.867,0.934,SPEAKER_01
you,152.227,152.307,0.93,SPEAKER_01
were,152.327,152.427,0.979,SPEAKER_01
little.,152.447,152.748,0.876,SPEAKER_01
I,154.31,154.39,0.952,SPEAKER_01
feel,154.45,154.611,0.839,SPEAKER_01
like,154.671,154.851,0.763,SPEAKER_01
when,155.712,155.892,0.864,SPEAKER_01
I,155.932,156.013,0.739,SPEAKER_01
go,156.053,156.213,0.919,SPEAKER_01
"there,",156.253,156.553,0.821,SPEAKER_01
like,157.615,157.775,0.813,SPEAKER_01
the,157.835,157.935,0.803,SPEAKER_01
night,157.995,158.176,0.789,SPEAKER_01
at,158.256,158.356,0.972,SPEAKER_01
"Miru,",158.596,159.417,0.756,SPEAKER_01
I'm,160.9,162.382,0.97,SPEAKER_01
gonna,162.402,162.562,0.437,SPEAKER_01
hurt,162.602,162.722,0.799,SPEAKER_01
your,162.742,162.862,0.75,SPEAKER_01
"feelings,",162.903,163.323,0.854,SPEAKER_01
I'm,163.684,163.764,0.937,SPEAKER_01
gonna,163.804,163.944,0.406,SPEAKER_01
make,164.004,164.104,0.996,SPEAKER_01
you,164.144,164.224,0.767,SPEAKER_01
feel,164.264,164.445,0.595,SPEAKER_01
bad.,164.505,164.785,0.937,SPEAKER_01
And,164.805,167.449,0.898,SPEAKER_01
I,167.489,167.529,0.85,SPEAKER_01
was,167.569,167.669,0.706,SPEAKER_01
being,167.729,167.91,0.88,SPEAKER_01
really,168.03,168.27,0.794,SPEAKER_01
vulnerable,168.33,168.771,0.82,SPEAKER_01
that,168.791,168.991,0.723,SPEAKER_01
"night,",169.051,169.292,0.869,SPEAKER_01
so,169.512,169.612,0.802,SPEAKER_01
I,169.652,169.692,0.958,SPEAKER_01
wasn't,169.752,170.033,0.819,SPEAKER_01
thinking,170.213,170.654,0.867,SPEAKER_01
about,170.734,170.914,0.606,SPEAKER_01
what,170.954,171.054,0.95,SPEAKER_01
I,171.114,171.154,0.958,SPEAKER_01
was,171.194,171.315,0.766,SPEAKER_01
"saying,",171.375,171.775,0.76,SPEAKER_01
I,171.795,171.815,0.999,SPEAKER_01
was,172.076,172.176,0.713,SPEAKER_01
just,172.256,172.396,0.652,SPEAKER_01
talking.,172.456,173.678,0.892,SPEAKER_01
And,173.843,174.023,0.621,SPEAKER_01
then,174.043,174.143,0.718,SPEAKER_01
I,174.183,174.223,0.901,SPEAKER_01
felt,174.283,174.424,0.876,SPEAKER_01
so,174.484,174.584,0.822,SPEAKER_01
bad,174.644,174.784,0.992,SPEAKER_01
when,174.824,174.924,0.848,SPEAKER_01
you,174.944,175.044,0.552,SPEAKER_01
told,175.084,175.204,0.761,SPEAKER_01
me,175.244,175.284,0.631,SPEAKER_01
that,175.325,175.405,0.919,SPEAKER_01
it,175.465,175.505,0.838,SPEAKER_01
kind,175.525,175.685,0.449,SPEAKER_01
of,175.705,175.745,0.472,SPEAKER_01
hurt,175.765,175.885,0.922,SPEAKER_01
your,175.925,176.045,0.72,SPEAKER_01
feelings.,176.085,176.566,0.839,SPEAKER_01
So,177.046,177.487,0.898,SPEAKER_01
I,177.507,177.527,0.999,SPEAKER_01
am,177.907,177.987,0.92,SPEAKER_01
hesitant,178.087,178.588,0.872,SPEAKER_01
to,178.688,178.828,0.99,SPEAKER_01
really,179.949,180.33,0.612,SPEAKER_01
be,180.41,180.55,0.995,SPEAKER_01
honest,180.71,181.15,0.742,SPEAKER_01
with,181.19,181.331,0.699,SPEAKER_01
you,181.411,181.571,0.997,SPEAKER_01
about,181.671,181.871,0.897,SPEAKER_01
what,181.931,182.071,0.863,SPEAKER_01
it,182.111,182.151,0.996,SPEAKER_01
was,182.192,182.292,0.533,SPEAKER_01
like,182.372,182.552,0.796,SPEAKER_01
for,182.632,182.752,0.982,SPEAKER_01
me,182.792,182.912,0.816,SPEAKER_01
when,182.972,183.072,0.753,SPEAKER_01
you,183.112,183.193,0.847,SPEAKER_01
were,183.213,183.373,0.743,SPEAKER_01
small.,183.593,183.953,0.947,SPEAKER_01
"Yeah,",186.716,186.956,0.644,SPEAKER_01
I,186.976,186.996,0.911,SPEAKER_01
just,187.097,187.217,0.89,SPEAKER_01
felt,187.237,187.357,0.676,SPEAKER_01
like,187.377,187.477,0.728,SPEAKER_01
I,187.517,187.557,0.968,SPEAKER_01
wasn't,187.617,187.837,0.843,SPEAKER_01
doing,187.857,188.017,0.654,SPEAKER_01
anything,188.098,188.378,0.905,SPEAKER_01
right.,188.438,188.678,0.865,SPEAKER_01
So,190.54,190.68,0.946,SPEAKER_01
that,190.7,190.88,0.91,SPEAKER_01
was,191.841,191.941,0.715,SPEAKER_01
really,191.981,192.202,0.8,SPEAKER_01
hard.,192.282,192.542,0.829,SPEAKER_01
"Yeah,",193.103,193.963,0.847,SPEAKER_01
it,194.284,194.324,0.052,SPEAKER_01
was,194.344,194.484,0.867,SPEAKER_01
"really,",194.524,194.764,0.844,SPEAKER_01
really,194.804,195.005,0.798,SPEAKER_01
hard.,195.065,195.285,0.896,SPEAKER_01
And,195.505,195.585,0.938,SPEAKER_01
I,195.625,195.685,0.887,SPEAKER_01
think,195.725,195.905,0.814,SPEAKER_01
I,195.966,196.026,0.994,SPEAKER_01
"made,",196.086,196.306,0.967,SPEAKER_01
instead,196.366,198.348,0.782,SPEAKER_01
of,198.388,198.428,1.0,SPEAKER_01
listening,198.488,198.788,0.676,SPEAKER_01
to,198.808,198.868,0.744,SPEAKER_01
my,198.929,199.049,0.67,SPEAKER_01
own,199.269,199.389,0.988,SPEAKER_01
instincts,199.409,200.61,0.778,SPEAKER_01
and,201.211,201.291,0.809,SPEAKER_01
gut,201.351,201.511,0.749,SPEAKER_01
"feeling,",201.571,202.332,0.851,SPEAKER_01
which,203.273,203.473,0.854,SPEAKER_01
was,203.533,203.613,0.757,SPEAKER_01
hard,203.674,203.854,0.881,SPEAKER_01
to,203.894,203.954,0.752,SPEAKER_01
do,203.994,204.094,0.994,SPEAKER_01
because,204.174,204.435,0.891,SPEAKER_01
I,204.455,204.475,0.999,SPEAKER_01
didn't,204.735,204.915,0.735,SPEAKER_01
have,204.975,205.076,0.824,SPEAKER_01
a,205.116,205.136,0.765,SPEAKER_01
strong,205.156,205.476,0.736,SPEAKER_01
mother,205.536,205.777,0.918,SPEAKER_01
figure.,205.837,206.157,0.866,SPEAKER_01
So,206.738,206.858,0.929,SPEAKER_01
I,206.898,206.938,0.857,SPEAKER_01
didn't,206.978,207.179,0.827,SPEAKER_01
have-,207.239,207.439,0.739,SPEAKER_01
You,207.82,207.9,0.971,SPEAKER_01
didn't,207.92,208.04,0.683,SPEAKER_01
have,208.08,208.18,0.951,SPEAKER_01
a,208.24,208.26,0.829,SPEAKER_01
mom.,208.3,208.741,0.894,SPEAKER_01
Your,208.801,209.142,0.174,SPEAKER_01
mom,209.162,209.262,0.521,SPEAKER_01
passed,209.302,209.542,0.488,SPEAKER_01
away,209.562,209.722,0.704,SPEAKER_01
when,209.743,209.823,0.85,SPEAKER_01
you,209.863,209.923,0.988,SPEAKER_01
were,209.943,210.063,0.809,SPEAKER_01
so,210.103,210.303,0.958,SPEAKER_01
young.,210.343,210.624,0.89,SPEAKER_01
Right.,210.944,211.185,0.783,SPEAKER_01
So,211.685,212.066,0.998,SPEAKER_01
"I,",212.086,212.126,0.996,SPEAKER_01
and,213.588,213.668,0.95,SPEAKER_01
I'm,214.009,214.129,0.909,SPEAKER_01
so,214.289,214.409,0.948,SPEAKER_01
much,214.449,214.59,0.885,SPEAKER_01
of,214.61,214.87,0.804,SPEAKER_01
a,215.09,215.11,0.984,SPEAKER_01
fixer,215.251,215.791,0.906,SPEAKER_01
