,word,start,end,score,speaker
253,not,124.914,125.094,0.819,SPEAKER_01
254,specifically,125.114,125.715,0.442,SPEAKER_01
255,straight,126.036,126.376,0.497,SPEAKER_01
256,"after,",126.476,127.157,0.663,SPEAKER_01
257,but,127.738,127.818,0.769,SPEAKER_01
258,the,127.858,127.918,0.974,SPEAKER_01
259,fact,127.958,128.079,0.752,SPEAKER_01
260,that,128.099,128.239,0.906,SPEAKER_01
261,a,128.68,128.72,0.912,SPEAKER_01
262,lot,128.78,128.92,0.888,SPEAKER_01
263,had,128.96,129.08,0.902,SPEAKER_01
264,gone,129.12,129.28,0.805,SPEAKER_01
265,down,129.341,129.521,0.923,SPEAKER_01
266,on,129.601,129.661,0.834,SPEAKER_01
267,that,129.681,129.841,0.806,SPEAKER_01
268,trip,129.881,130.142,0.893,SPEAKER_01
269,that,130.903,131.103,0.828,SPEAKER_01
270,neither,131.324,131.564,0.531,SPEAKER_01
271,of,131.624,131.664,0.994,SPEAKER_01
272,us,131.824,131.944,0.717,SPEAKER_01
273,had,132.165,132.285,0.957,SPEAKER_01
274,imagined.,132.325,132.886,0.896,SPEAKER_01
275,And,133.807,133.887,0.675,SPEAKER_01
276,I,133.947,133.967,0.981,SPEAKER_01
277,"think,",134.028,134.328,0.941,SPEAKER_01
278,"yeah,",135.33,135.57,0.638,SPEAKER_01
279,highly,135.71,135.97,0.859,SPEAKER_01
280,embarrassing.,136.031,136.672,0.916,SPEAKER_01
281,I,137.994,138.054,0.954,SPEAKER_01
282,"think,",138.074,138.314,0.91,SPEAKER_01
283,"yeah,",138.514,138.795,0.706,SPEAKER_01
284,that's,138.935,139.135,0.793,SPEAKER_01
285,when,139.175,139.275,0.516,SPEAKER_01
286,I,139.336,139.396,0.968,SPEAKER_01
287,"knew,",139.416,139.696,0.694,SPEAKER_01
288,"wow,",140.297,140.497,0.709,SPEAKER_01
289,this,140.557,140.698,0.89,SPEAKER_01
290,man's,141.078,141.278,0.604,SPEAKER_01
291,really,141.319,141.519,0.897,SPEAKER_01
292,in,141.559,141.599,0.742,SPEAKER_01
293,love,141.639,141.779,0.372,SPEAKER_01
294,with,141.799,141.879,0.001,SPEAKER_01
295,me,141.899,141.939,0.511,SPEAKER_01
296,because,141.959,142.12,0.785,SPEAKER_01
297,he,142.16,142.22,0.985,SPEAKER_01
298,wants,142.26,142.44,0.564,SPEAKER_01
299,to,142.48,142.54,0.716,SPEAKER_01
300,marry,142.6,142.841,0.942,SPEAKER_01
301,me,142.861,143.001,0.784,SPEAKER_01
302,even,143.021,143.301,0.818,SPEAKER_01
303,though,143.342,143.742,0.319,SPEAKER_01
304,he's,145.084,145.204,0.574,SPEAKER_01
305,seen,145.244,145.525,0.368,SPEAKER_01
306,all,145.545,145.605,0.005,SPEAKER_01
307,of,145.625,145.665,0.004,SPEAKER_01
308,that.,145.685,146.186,0.301,SPEAKER_01
309,We,146.206,146.326,0.734,SPEAKER_01
310,never,146.346,146.526,0.738,SPEAKER_01
311,"lack,",146.586,146.947,0.716,SPEAKER_01
312,even,147.308,147.528,0.33,SPEAKER_01
313,when,147.548,147.668,0.503,SPEAKER_01
314,we're,147.688,147.828,0.554,SPEAKER_01
315,"lacking,",147.848,148.369,0.198,SPEAKER_01
316,we,148.389,148.429,0.248,SPEAKER_01
317,never,148.449,148.65,0.693,SPEAKER_01
318,lack.,148.69,148.99,0.656,SPEAKER_01
319,My,150.134,150.515,0.802,SPEAKER_01
320,biggest,150.555,151.035,0.644,SPEAKER_01
321,fear,151.055,151.296,0.658,SPEAKER_01
322,about,151.376,151.676,0.996,SPEAKER_01
323,us,151.816,151.957,0.828,SPEAKER_01
324,is,152.257,152.377,0.834,SPEAKER_01
325,blank,152.417,153.238,0.921,SPEAKER_01
326,because,154.0,154.58,0.91,SPEAKER_01
327,blank.,154.62,163.954,0.947,SPEAKER_01
328,I,163.974,163.994,0.005,SPEAKER_01
329,must,164.014,164.214,0.532,SPEAKER_01
330,get,164.234,164.715,0.792,SPEAKER_01
331,that.,167.539,167.659,0.343,SPEAKER_01
332,About,167.699,168.06,0.369,SPEAKER_00
333,us.,168.08,168.28,0.905,SPEAKER_00
334,Yeah.,168.541,169.382,0.434,SPEAKER_01
335,My,169.402,169.502,0.94,SPEAKER_01
336,biggest,169.542,169.782,0.582,SPEAKER_01
337,fear,169.802,170.003,0.675,SPEAKER_01
338,about,170.043,170.263,0.942,SPEAKER_01
339,us,170.423,170.564,0.68,SPEAKER_01
340,is,171.064,171.205,0.82,SPEAKER_01
341,because.,171.245,173.408,0.856,SPEAKER_01
342,Okay.,173.468,179.837,0.688,SPEAKER_01
343,My,181.893,182.914,0.706,SPEAKER_01
344,biggest,183.014,183.375,0.882,SPEAKER_01
345,fear,183.515,183.855,0.807,SPEAKER_01
346,about,183.875,185.057,0.888,SPEAKER_01
347,us,185.397,185.518,0.862,SPEAKER_01
348,is,187.32,187.54,0.867,SPEAKER_01
349,that,187.58,191.765,0.992,SPEAKER_01
350,we,191.885,192.046,0.975,SPEAKER_01
351,won't,192.126,192.346,0.818,SPEAKER_01
352,break,192.446,192.646,0.907,SPEAKER_01
353,the,192.686,192.827,0.705,SPEAKER_01
354,cycle,192.887,193.287,0.925,SPEAKER_01
355,because,195.75,196.291,0.837,SPEAKER_01
356,as,196.331,201.758,0.991,SPEAKER_01
357,much,201.898,202.078,0.85,SPEAKER_01
358,as,202.138,202.198,0.98,SPEAKER_01
359,I,202.278,202.339,0.889,SPEAKER_01
360,love,202.579,202.779,0.763,SPEAKER_01
361,the,202.819,202.919,0.814,SPEAKER_01
362,love,202.959,203.14,0.974,SPEAKER_01
363,my,203.18,203.28,0.994,SPEAKER_01
364,parents,203.34,203.68,0.9,SPEAKER_01
365,"have,",203.78,204.101,0.972,SPEAKER_01
366,they,205.262,205.382,0.794,SPEAKER_01
367,are,205.422,205.503,0.8,SPEAKER_01
368,very,205.663,205.923,0.842,SPEAKER_01
369,isolated,206.183,206.804,0.861,SPEAKER_01
370,as,206.844,207.685,0.903,SPEAKER_01
371,a,207.725,207.745,0.143,SPEAKER_01
372,consequence,207.885,208.426,0.959,SPEAKER_01
373,of,208.466,208.526,0.954,SPEAKER_01
374,how,208.586,208.686,0.995,SPEAKER_01
375,much,208.727,208.847,1.0,SPEAKER_01
376,they,208.887,208.987,0.779,SPEAKER_01
377,love,209.047,209.187,0.984,SPEAKER_01
378,each,209.227,209.347,0.753,SPEAKER_01
379,other.,209.427,209.908,0.946,SPEAKER_01
380,Do,210.648,210.688,0.0,SPEAKER_01
381,you,210.708,210.768,0.0,SPEAKER_01
382,know,210.788,210.868,0.0,SPEAKER_01
383,what,210.888,210.968,0.012,SPEAKER_01
384,I,210.988,211.008,0.0,SPEAKER_01
385,mean?,211.028,211.129,0.003,SPEAKER_01
386,"Like,",211.149,211.269,0.746,SPEAKER_01
387,I,211.369,211.409,0.986,SPEAKER_01
388,remember,211.429,211.689,0.752,SPEAKER_01
389,being,211.729,211.91,0.908,SPEAKER_01
390,very,211.95,212.15,0.818,SPEAKER_01
391,young,212.23,212.47,0.779,SPEAKER_01
392,and,212.63,212.71,0.789,SPEAKER_01
393,my,212.731,212.851,0.869,SPEAKER_01
394,mum,212.931,213.131,0.763,SPEAKER_01
395,having,213.151,213.351,0.883,SPEAKER_01
396,loads,213.411,213.772,0.662,SPEAKER_01
397,of,213.832,213.912,0.905,SPEAKER_01
398,friends,213.952,214.192,0.684,SPEAKER_01
399,and,214.252,214.312,0.442,SPEAKER_01
400,my,214.332,214.453,0.748,SPEAKER_01
401,dad,214.493,214.713,0.818,SPEAKER_01
402,having,214.753,214.973,0.95,SPEAKER_01
403,loads,215.073,215.294,0.684,SPEAKER_01
404,of,215.374,215.454,0.906,SPEAKER_01
405,friends,215.514,215.814,0.786,SPEAKER_01
406,and,215.894,215.974,0.845,SPEAKER_01
407,in,217.296,217.416,0.92,SPEAKER_01
408,my,217.757,217.857,0.971,SPEAKER_01
409,"community,",217.897,218.237,0.907,SPEAKER_01
410,everyone,218.297,218.558,0.856,SPEAKER_01
411,is,218.598,218.658,0.891,SPEAKER_01
412,uncle,218.738,218.958,0.934,SPEAKER_01
413,and,218.998,219.058,0.856,SPEAKER_01
414,"auntie,",219.138,219.298,0.322,SPEAKER_01
415,do,219.318,219.359,0.0,SPEAKER_01
416,you,219.379,219.439,0.31,SPEAKER_01
417,know,219.459,219.539,0.002,SPEAKER_01
418,what,219.559,219.639,0.004,SPEAKER_01
419,I,219.659,219.679,0.001,SPEAKER_01
420,mean?,219.699,219.799,0.199,SPEAKER_01
421,But,219.819,219.879,0.375,SPEAKER_01
422,"like,",219.899,220.079,0.678,SPEAKER_00
423,they're,220.26,220.46,0.648,SPEAKER_00
424,everywhere.,220.52,220.86,0.604,SPEAKER_01
425,I've,220.88,220.981,0.709,SPEAKER_01
426,got,221.001,221.161,0.681,SPEAKER_01
427,so,221.561,221.721,0.869,SPEAKER_01
428,many,221.761,221.982,0.893,SPEAKER_01
429,like,222.022,222.242,0.957,SPEAKER_01
430,friends,222.522,222.743,0.689,SPEAKER_01
431,across,222.823,223.103,0.91,SPEAKER_01
432,the,223.123,223.223,0.895,SPEAKER_01
433,city,223.263,223.584,0.152,SPEAKER_01
434,that,223.604,223.724,0.61,SPEAKER_01
435,are,223.764,223.844,0.897,SPEAKER_01
436,like,223.884,224.044,0.849,SPEAKER_01
437,"cousins,",224.164,224.585,0.948,SPEAKER_01
438,but,224.705,224.805,0.972,SPEAKER_01
439,they're,224.825,225.005,0.865,SPEAKER_01
440,just,225.045,225.146,0.996,SPEAKER_01
441,like,225.186,225.346,0.607,SPEAKER_00
442,my,225.366,225.466,0.734,SPEAKER_01
443,mum's,225.506,225.706,0.656,SPEAKER_01
444,bredrins,225.726,226.127,0.698,SPEAKER_01
445,kids,226.167,226.407,0.829,SPEAKER_01
446,and,226.487,226.567,0.921,SPEAKER_00
447,my,226.587,226.687,0.866,SPEAKER_00
448,dad's,226.727,226.928,0.751,SPEAKER_00
449,bredrins,226.948,227.308,0.694,SPEAKER_01
450,kids.,227.388,227.589,0.688,SPEAKER_00
451,But,228.189,228.309,0.925,SPEAKER_01
452,"like,",228.349,228.57,0.947,SPEAKER_01
453,now,229.851,229.971,0.976,SPEAKER_01
454,in,230.051,230.112,0.993,SPEAKER_01
455,their,230.132,230.292,0.777,SPEAKER_01
456,"sixties,",230.352,230.893,0.813,SPEAKER_01
457,they,231.053,231.153,0.621,SPEAKER_01
458,don't,231.193,231.313,0.875,SPEAKER_01
459,have,231.433,231.593,0.969,SPEAKER_01
460,that.,231.653,231.794,0.704,SPEAKER_01
461,And,231.814,231.874,0.609,SPEAKER_01
462,I,231.934,232.014,0.896,SPEAKER_01
463,like,232.054,232.234,0.939,SPEAKER_01
464,watch,232.535,232.875,0.899,SPEAKER_01
465,them,232.915,233.115,0.932,SPEAKER_01
466,sacrifice,233.856,234.457,0.901,SPEAKER_01
467,that,234.497,234.677,0.914,SPEAKER_01
468,along,234.897,235.138,0.841,SPEAKER_01
469,the,235.198,235.278,0.823,SPEAKER_01
470,way,235.318,235.458,0.861,SPEAKER_01
471,for,235.618,235.738,0.757,SPEAKER_01
472,the,235.798,235.859,0.992,SPEAKER_01
473,sake,235.899,236.059,0.778,SPEAKER_01
474,of,236.099,236.139,0.985,SPEAKER_01
475,their,236.159,236.279,0.923,SPEAKER_01
476,relationship.,236.319,236.72,0.786,SPEAKER_01
477,A,236.74,236.78,0.903,SPEAKER_01
478,lot,236.82,236.96,0.827,SPEAKER_01
479,of,237.0,237.04,0.925,SPEAKER_01
480,it,237.12,237.18,0.977,SPEAKER_01
481,"was,",237.22,237.921,0.941,SPEAKER_01
482,for,238.39,238.55,0.932,SPEAKER_01
483,the,238.59,238.65,0.997,SPEAKER_01
484,greater,238.69,238.891,0.582,SPEAKER_01
485,good.,238.951,239.151,0.748,SPEAKER_01
486,And,239.311,239.391,0.946,SPEAKER_01
487,we,239.452,239.572,0.96,SPEAKER_01
488,have,239.612,239.732,0.823,SPEAKER_01
489,had,239.772,239.892,0.942,SPEAKER_01
490,situations,239.932,240.593,0.88,SPEAKER_01
491,where,240.633,240.974,0.848,SPEAKER_01
492,we,241.014,242.035,0.948,SPEAKER_01
493,have,242.055,242.176,0.978,SPEAKER_01
494,had,242.236,242.396,0.805,SPEAKER_01
495,to,242.456,242.536,0.782,SPEAKER_01
496,let,242.616,242.756,0.939,SPEAKER_01
497,friends,242.837,243.117,0.69,SPEAKER_01
498,go,243.217,243.397,0.988,SPEAKER_01
499,because,243.437,243.738,0.715,SPEAKER_01
500,they,243.778,243.858,0.965,SPEAKER_01
501,were,243.898,244.038,0.858,SPEAKER_01
502,actually,244.118,244.559,0.755,SPEAKER_01
503,demonstrating,244.599,246.001,0.853,SPEAKER_01
504,behaviors,246.061,246.502,0.839,SPEAKER_01
505,that,246.522,246.622,0.984,SPEAKER_01
506,were,246.662,246.782,0.865,SPEAKER_01
507,really,246.842,247.043,0.896,SPEAKER_01
508,big,247.183,247.383,0.982,SPEAKER_01
509,red,247.443,247.644,0.873,SPEAKER_01
510,flags.,247.704,248.064,0.94,SPEAKER_01
511,But,248.625,248.725,0.163,SPEAKER_00
512,"like,",248.745,249.066,0.62,SPEAKER_01
513,that,249.426,249.586,0.969,SPEAKER_01
514,really,249.847,250.167,0.682,SPEAKER_01
515,concerns,250.267,250.868,0.851,SPEAKER_01
516,me,250.948,251.149,0.916,SPEAKER_01
517,"where,",252.01,252.471,0.698,SPEAKER_01
518,for,254.714,254.814,0.916,SPEAKER_01
519,"example,",254.874,255.215,0.887,SPEAKER_01
520,when,255.275,255.375,0.757,SPEAKER_01
521,that,255.415,255.515,0.862,SPEAKER_01
522,was,255.555,255.635,0.985,SPEAKER_01
523,your,255.675,255.916,0.842,SPEAKER_01
524,"friend,",255.976,256.336,0.714,SPEAKER_01
525,I,257.137,257.198,0.983,SPEAKER_01
526,was,257.218,257.318,0.668,SPEAKER_01
527,really,257.418,257.658,0.684,SPEAKER_01
528,worried,257.698,257.999,0.8,SPEAKER_01
529,about,258.059,258.319,0.889,SPEAKER_01
530,my,258.58,258.78,0.912,SPEAKER_01
531,influence,258.86,259.321,0.91,SPEAKER_01
532,and,259.381,259.441,0.864,SPEAKER_01
533,like,259.521,259.601,0.248,SPEAKER_01
534,my,259.761,259.962,0.966,SPEAKER_01
535,opinions,260.022,260.522,0.747,SPEAKER_01
536,on,260.623,260.703,0.988,SPEAKER_01
537,that,260.743,261.083,0.917,SPEAKER_01
538,person's,261.143,261.524,0.782,SPEAKER_01
539,behavior,261.584,261.985,0.745,SPEAKER_01
540,and,262.045,262.105,0.96,SPEAKER_01
541,how,262.165,262.265,0.966,SPEAKER_01
542,they,262.305,262.405,0.803,SPEAKER_01
543,were,262.425,262.545,0.864,SPEAKER_01
544,carrying,262.585,262.906,0.902,SPEAKER_01
